rel_path,bytes,chunks,embed_ms,status
core/src/main/java/kafka/docker/Log4jConfiguration.java,5863,4,86,ok
core/src/main/java/kafka/log/remote/RemoteLogManager.java,125332,104,1134,ok
core/src/main/java/kafka/log/remote/RemoteLogOffsetReader.java,3591,3,41,ok
core/src/main/java/kafka/log/remote/RemoteLogReader.java,4128,3,46,ok
core/src/main/java/kafka/server/ClientRequestQuotaManager.java,5021,5,63,ok
core/src/main/java/kafka/server/MetadataVersionConfigValidator.java,2468,2,30,ok
core/src/main/java/kafka/server/NetworkUtils.java,3396,4,44,ok
core/src/main/java/kafka/server/QuotaFactory.java,6467,6,62,ok
core/src/main/java/kafka/server/ReplicaQuota.java,1019,1,17,ok
core/src/main/java/kafka/server/ReplicationQuotaManager.java,5814,5,70,ok
core/src/main/java/kafka/server/TierStateMachine.java,15374,15,152,ok
core/src/main/java/kafka/server/builders/KafkaApisBuilder.java,9109,8,83,ok
core/src/main/java/kafka/server/builders/LogManagerBuilder.java,7761,6,69,ok
core/src/main/java/kafka/server/builders/ReplicaManagerBuilder.java,5582,4,55,ok
core/src/main/java/kafka/server/handlers/DescribeTopicPartitionsRequestHandler.java,6248,5,70,ok
core/src/main/java/kafka/server/logger/RuntimeLoggerManager.java,6336,5,67,ok
core/src/main/java/kafka/server/share/DelayedShareFetch.java,22430,21,209,ok
core/src/main/java/kafka/server/share/ShareFetchUtils.java,10386,9,106,ok
core/src/main/java/kafka/server/share/SharePartition.java,121916,105,1141,ok
core/src/main/java/kafka/server/share/SharePartitionManager.java,42825,37,413,ok
core/src/main/scala/kafka/Kafka.scala,4319,4,59,ok
core/src/main/scala/kafka/MetadataLogConfig.scala,1679,2,25,ok
core/src/main/scala/kafka/admin/ConfigCommand.scala,40620,37,482,ok
core/src/main/scala/kafka/cluster/Broker.scala,3508,3,47,ok
core/src/main/scala/kafka/cluster/EndPoint.scala,2095,2,32,ok
core/src/main/scala/kafka/cluster/Partition.scala,90950,84,900,ok
core/src/main/scala/kafka/cluster/Replica.scala,9529,9,110,ok
core/src/main/scala/kafka/common/BrokerEndPointNotAvailableException.scala,949,1,17,ok
core/src/main/scala/kafka/common/LogCleaningAbortedException.scala,961,1,18,ok
core/src/main/scala/kafka/common/ThreadShutdownException.scala,961,1,17,ok
core/src/main/scala/kafka/controller/ControllerContext.scala,2015,2,29,ok
core/src/main/scala/kafka/controller/StateChangeLogger.scala,2067,2,30,ok
core/src/main/scala/kafka/coordinator/group/CoordinatorLoaderImpl.scala,10991,10,114,ok
core/src/main/scala/kafka/coordinator/group/CoordinatorPartitionWriter.scala,6185,5,68,ok
core/src/main/scala/kafka/coordinator/group/DelayedHeartbeat.scala,1646,2,25,ok
core/src/main/scala/kafka/coordinator/group/DelayedJoin.scala,3435,3,43,ok
core/src/main/scala/kafka/coordinator/group/DelayedRebalance.scala,1249,1,19,ok
core/src/main/scala/kafka/coordinator/group/DelayedSync.scala,1763,2,27,ok
core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,82126,68,765,ok
core/src/main/scala/kafka/coordinator/group/GroupCoordinatorAdapter.scala,22897,19,223,ok
core/src/main/scala/kafka/coordinator/group/GroupMetadata.scala,35890,30,354,ok
core/src/main/scala/kafka/coordinator/group/GroupMetadataManager.scala,59935,54,597,ok
core/src/main/scala/kafka/coordinator/group/MemberMetadata.scala,5982,5,66,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,56518,49,510,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionLog.scala,7954,7,87,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerChannelManager.scala,22261,19,207,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerRequestCompletionHandler.scala,10986,9,100,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMetadata.scala,31615,25,283,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,42443,38,389,ok
core/src/main/scala/kafka/docker/KafkaDockerWrapper.scala,13784,11,160,ok
core/src/main/scala/kafka/log/LogCleaner.scala,61855,52,632,ok
