experiment_id,chunk_label,query_id,query_type,has_adversarial,top1_file,top1_cosine,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap
E003b-750-100,750/100,Q30,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LocalLog.java,0.6790,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q01,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/EndPoint.scala,0.5885,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q02,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6661,true,1.0000,1.0000,1.0000,1.0000,true,3
E003b-1500-200,1500/200,Q03,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6749,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q04,BEHAVIOURAL,true,raft/src/main/java/org/apache/kafka/raft/KafkaRaftClient.java,0.6112,true,1.0000,1.0000,1.0000,1.0000,true,3
E003b-1500-200,1500/200,Q05,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6874,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q06,CROSS_CUTTING,true,core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,0.6098,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q07,BEHAVIOURAL,true,core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,0.6806,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q08,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6992,true,1.0000,1.0000,1.0000,1.0000,true,2
E003b-1500-200,1500/200,Q09,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/BrokerHeartbeatManager.java,0.6002,false,0.0000,1.0000,1.0000,0.3333,true,no_adv_retrieved
E003b-1500-200,1500/200,Q10,DIRECT_CONCEPT,true,metadata/src/main/java/org/apache/kafka/image/publisher/SnapshotGenerator.java,0.6738,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q11,BEHAVIOURAL,true,core/src/main/scala/kafka/log/LogManager.scala,0.6195,true,1.0000,1.0000,1.0000,1.0000,true,1
E003b-1500-200,1500/200,Q12,CROSS_CUTTING,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6383,true,1.0000,1.0000,1.0000,1.0000,true,no_adv_retrieved
E003b-1500-200,1500/200,Q13,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6016,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-1500-200,1500/200,Q14,ANTI_PATTERN,false,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,0.5783,false,0.0000,0.0000,0.0000,0.0000,,
E003b-1500-200,1500/200,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6606,false,0.0000,0.0000,0.0000,0.0000,,
