rel_path,bytes,chunks,embed_ms,status
core/src/main/java/kafka/docker/Log4jConfiguration.java,5863,10,135,ok
core/src/main/java/kafka/log/remote/RemoteLogManager.java,125332,199,1460,ok
core/src/main/java/kafka/log/remote/RemoteLogOffsetReader.java,3591,7,70,ok
core/src/main/java/kafka/log/remote/RemoteLogReader.java,4128,7,69,ok
core/src/main/java/kafka/server/ClientRequestQuotaManager.java,5021,10,82,ok
core/src/main/java/kafka/server/MetadataVersionConfigValidator.java,2468,5,43,ok
core/src/main/java/kafka/server/NetworkUtils.java,3396,6,50,ok
core/src/main/java/kafka/server/QuotaFactory.java,6467,11,80,ok
core/src/main/java/kafka/server/ReplicaQuota.java,1019,3,25,ok
core/src/main/java/kafka/server/ReplicationQuotaManager.java,5814,12,92,ok
core/src/main/java/kafka/server/TierStateMachine.java,15374,27,186,ok
core/src/main/java/kafka/server/builders/KafkaApisBuilder.java,9109,15,108,ok
core/src/main/java/kafka/server/builders/LogManagerBuilder.java,7761,13,89,ok
core/src/main/java/kafka/server/builders/ReplicaManagerBuilder.java,5582,8,65,ok
core/src/main/java/kafka/server/handlers/DescribeTopicPartitionsRequestHandler.java,6248,12,87,ok
core/src/main/java/kafka/server/logger/RuntimeLoggerManager.java,6336,9,76,ok
core/src/main/java/kafka/server/share/DelayedShareFetch.java,22430,40,262,ok
core/src/main/java/kafka/server/share/ShareFetchUtils.java,10386,20,139,ok
core/src/main/java/kafka/server/share/SharePartition.java,121916,200,1376,ok
core/src/main/java/kafka/server/share/SharePartitionManager.java,42825,73,521,ok
core/src/main/scala/kafka/Kafka.scala,4319,9,86,ok
core/src/main/scala/kafka/MetadataLogConfig.scala,1679,4,33,ok
core/src/main/scala/kafka/admin/ConfigCommand.scala,40620,72,568,ok
core/src/main/scala/kafka/cluster/Broker.scala,3508,6,55,ok
core/src/main/scala/kafka/cluster/EndPoint.scala,2095,4,36,ok
core/src/main/scala/kafka/cluster/Partition.scala,90950,165,1104,ok
core/src/main/scala/kafka/cluster/Replica.scala,9529,18,150,ok
core/src/main/scala/kafka/common/BrokerEndPointNotAvailableException.scala,949,3,24,ok
core/src/main/scala/kafka/common/LogCleaningAbortedException.scala,961,3,24,ok
core/src/main/scala/kafka/common/ThreadShutdownException.scala,961,3,46,ok
core/src/main/scala/kafka/controller/ControllerContext.scala,2015,5,45,ok
core/src/main/scala/kafka/controller/StateChangeLogger.scala,2067,4,38,ok
core/src/main/scala/kafka/coordinator/group/CoordinatorLoaderImpl.scala,10991,20,141,ok
core/src/main/scala/kafka/coordinator/group/CoordinatorPartitionWriter.scala,6185,11,84,ok
core/src/main/scala/kafka/coordinator/group/DelayedHeartbeat.scala,1646,4,30,ok
core/src/main/scala/kafka/coordinator/group/DelayedJoin.scala,3435,8,59,ok
core/src/main/scala/kafka/coordinator/group/DelayedRebalance.scala,1249,3,26,ok
core/src/main/scala/kafka/coordinator/group/DelayedSync.scala,1763,6,41,ok
core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala,82126,139,992,ok
core/src/main/scala/kafka/coordinator/group/GroupCoordinatorAdapter.scala,22897,43,304,ok
core/src/main/scala/kafka/coordinator/group/GroupMetadata.scala,35890,66,447,ok
core/src/main/scala/kafka/coordinator/group/GroupMetadataManager.scala,59935,104,751,ok
core/src/main/scala/kafka/coordinator/group/MemberMetadata.scala,5982,10,84,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionCoordinator.scala,56518,100,670,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionLog.scala,7954,15,108,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerChannelManager.scala,22261,41,266,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMarkerRequestCompletionHandler.scala,10986,19,125,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionMetadata.scala,31615,52,378,ok
core/src/main/scala/kafka/coordinator/transaction/TransactionStateManager.scala,42443,75,484,ok
core/src/main/scala/kafka/docker/KafkaDockerWrapper.scala,13784,24,196,ok
core/src/main/scala/kafka/log/LogCleaner.scala,61855,111,786,ok
core/src/main/scala/kafka/log/LogCleanerManager.scala,30103,53,381,ok
core/src/main/scala/kafka/log/LogManager.scala,70746,129,888,ok
core/src/main/scala/kafka/log/UnifiedLog.scala,108234,187,1299,ok
core/src/main/scala/kafka/metrics/KafkaCSVMetricsReporter.scala,2848,5,64,ok
core/src/main/scala/kafka/metrics/KafkaMetricsConfig.scala,1655,4,32,ok
core/src/main/scala/kafka/metrics/KafkaMetricsReporter.scala,2873,6,91,ok
core/src/main/scala/kafka/network/RequestChannel.scala,21795,42,306,ok
core/src/main/scala/kafka/network/SocketServer.scala,76835,143,959,ok
core/src/main/scala/kafka/raft/DefaultExternalKRaftMetrics.scala,1473,3,41,ok
core/src/main/scala/kafka/raft/KafkaMetadataLog.scala,28083,50,367,ok
core/src/main/scala/kafka/raft/RaftManager.scala,10135,18,136,ok
core/src/main/scala/kafka/raft/SegmentPosition.scala,1072,3,25,ok
core/src/main/scala/kafka/raft/TimingWheelExpirationService.scala,2186,4,37,ok
core/src/main/scala/kafka/server/AbstractFetcherManager.scala,10901,19,136,ok
core/src/main/scala/kafka/server/AbstractFetcherThread.scala,48764,85,638,ok
core/src/main/scala/kafka/server/AclApis.scala,7539,15,106,ok
core/src/main/scala/kafka/server/AddPartitionsToTxnManager.scala,15583,28,195,ok
core/src/main/scala/kafka/server/AlterPartitionManager.scala,12855,23,163,ok
core/src/main/scala/kafka/server/ApiVersionManager.scala,6967,15,96,ok
core/src/main/scala/kafka/server/AuthHelper.scala,8338,17,123,ok
core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,10031,20,134,ok
core/src/main/scala/kafka/server/BrokerBlockingSender.scala,4659,8,60,ok
core/src/main/scala/kafka/server/BrokerLifecycleManager.scala,25885,44,317,ok
core/src/main/scala/kafka/server/BrokerServer.scala,36993,66,465,ok
core/src/main/scala/kafka/server/ClientQuotaManager.scala,28433,51,381,ok
core/src/main/scala/kafka/server/ConfigAdminManager.scala,21269,39,298,ok
core/src/main/scala/kafka/server/ConfigHandler.scala,9152,16,120,ok
core/src/main/scala/kafka/server/ConfigHelper.scala,18071,36,248,ok
core/src/main/scala/kafka/server/ControllerApis.scala,55785,92,672,ok
core/src/main/scala/kafka/server/ControllerConfigurationValidator.scala,5706,10,80,ok
core/src/main/scala/kafka/server/ControllerMutationQuotaManager.scala,11331,23,157,ok
core/src/main/scala/kafka/server/ControllerRegistrationManager.scala,11229,22,160,ok
core/src/main/scala/kafka/server/ControllerServer.scala,21667,35,287,ok
core/src/main/scala/kafka/server/DelayedDeleteRecords.scala,5574,11,79,ok
core/src/main/scala/kafka/server/DelayedElectLeader.scala,3194,7,56,ok
core/src/main/scala/kafka/server/DelayedFetch.scala,9451,16,122,ok
core/src/main/scala/kafka/server/DelayedFuture.scala,4227,9,71,ok
core/src/main/scala/kafka/server/DelayedProduce.scala,6136,11,85,ok
core/src/main/scala/kafka/server/DelayedRemoteFetch.scala,5975,11,82,ok
core/src/main/scala/kafka/server/DelayedRemoteListOffsets.scala,7516,15,103,ok
core/src/main/scala/kafka/server/DelegationTokenManager.scala,9236,16,125,ok
core/src/main/scala/kafka/server/DynamicBrokerConfig.scala,55947,101,721,ok
core/src/main/scala/kafka/server/DynamicConfig.scala,4388,8,66,ok
core/src/main/scala/kafka/server/EnvelopeUtils.scala,5255,10,72,ok
core/src/main/scala/kafka/server/FetchSession.scala,38926,67,504,ok
